date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:50	113898/113898	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:06:53%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/assets/css/animate.min.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/assets/css/animate.min.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:51	113898/113898	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:06:53%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/assets/css/animsition.min.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/assets/css/animsition.min.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:51	109527/109527	---M-Z	200	added ('OK')	text/css	etag:%221abd7-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/bootstrap.min.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/bootstrap.min.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:51	25197/25197	---M-Z	200	added ('OK')	text/css	etag:%22626d-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/font-awesome.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/font-awesome.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:51	65232/65232	---M-Z	200	added ('OK')	text/css	etag:%22fed0-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/cubeportfolio.min.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/cubeportfolio.min.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:51	43162/43162	---M-Z	200	added ('OK')	text/css	etag:%22a89a-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/style.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/style.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:52	25825/25825	---M-Z	200	added ('OK')	text/css	etag:%2264e1-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/style.min.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/style.min.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:52	2626/2626	---M-Z	200	added ('OK')	text/css	etag:%22a42-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/inputEffects.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/inputEffects.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:52	17006/17006	---M-Z	200	added ('OK')	text/css	etag:%22426e-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/custom.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/custom.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:52	544/544	---M-Z	200	added ('OK')	text/css	etag:%22220-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/single-page-home.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/single-page-home.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
